Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of kinase activity (GO:0033674)	8/114	0.00000270764514498365935151022627913608431526881759054958820343017578125	0.00319502127108071791450338849926993134431540966033935546875	0.00000256832918982106539796425419275305301880507613532245159149169921875	0.0030306284439888570188259553361831422080285847187042236328125	-1.923658905121757	24.660213084619354	MAP2K3;EPHA4;TIGAR;FLT1;PTK2B;ROR1;FGFR2;IGF1R
nerve growth factor signaling pathway (GO:0038180)	3/11	0.00006924572625945549339716855730131328527932055294513702392578125	0.0272366523287191596158773876368286437354981899261474609375	0.00012226741023203571939563516490778738443623296916484832763671875	0.036068886018450534158841236376247252337634563446044921875	-2.529199134700811	24.224287730540723	MAGI2;NTF3;NGF
positive regulation of fatty acid beta-oxidation (GO:0032000)	2/8	0.00157951693404340966740695417769302366650663316249847412109375	0.07689899714246341277945617775912978686392307281494140625	0.0021973622251999680617118304581936172326095402240753173828125	0.08364152986245039500534659282493521459400653839111328125	-3.7497975674466777	24.188579993632032	PPARA;PLIN5
gland morphogenesis (GO:0022612)	2/7	0.00119061317796338998926952701395975964260287582874298095703125	0.0669011214284190580681155324782594107091426849365234375	0.0017661212115224803574642375991743392660282552242279052734375	0.083360921183861069749809757922776043415069580078125	-3.277207368426702	22.06637720962471	TGFB2;FGFR2
asymmetric protein localization (GO:0008105)	2/9	0.0020206213432172530179709024622525248560123145580291748046875	0.08386774959864427836375710967331542633473873138427734375	0.002673154552440435045845834594047119026072323322296142578125	0.08823538873157156514626109355958760716021060943603515625	-2.874259514109193	17.832912646443486	VANGL2;SHROOM2
positive regulation of fatty acid oxidation (GO:0046321)	2/12	0.00364907526101473402013741775817834422923624515533447265625	0.09568686239994191045088456348821637220680713653564453125	0.00436140208238149605646238882172838202677667140960693359375	0.09710291428698425431065288648824207484722137451171875	-3.108145440944002	17.446895292497405	PPARA;PLIN5
regulation of calcium ion transmembrane transport (GO:1903169)	3/21	0.00052767139783730667400296621138977570808492600917816162109375	0.0518876874540018240278271832721657119691371917724609375	0.0006454025826758288085505110842632348067127168178558349609375	0.053676549021968701647100630225395434536039829254150390625	-2.2535153049703345	17.007362982353094	CACNA2D1;PTK2B;TRDN
cAMP catabolic process (GO:0006198)	2/8	0.00157951693404340966740695417769302366650663316249847412109375	0.07689899714246341277945617775912978686392307281494140625	0.0021973622251999680617118304581936172326095402240753173828125	0.08364152986245039500534659282493521459400653839111328125	-2.5249396726718842	16.287467297362962	PDE2A;PDE4A
regulation of sequestering of calcium ion (GO:0051282)	2/10	0.002513115485912592074468907554773977608419954776763916015625	0.08386774959864427836375710967331542633473873138427734375	0.0031928510538623243453226763222119188867509365081787109375	0.0920818834684718756644628001595265232026576995849609375	-2.671802385670696	15.994029115329964	PTK2B;TRDN
insulin-like growth factor receptor signaling pathway (GO:0048009)	2/11	0.00305619765486585086289306190110437455587089061737060546875	0.08386774959864427836375710967331542633473873138427734375	0.0037558114149810572883481096795321718673221766948699951171875	0.0920818834684718756644628001595265232026576995849609375	-2.7213712108596693	15.758327862690981	GHR;IGF1R
cellular response to amyloid-beta (GO:1904646)	3/24	0.00078962306968272132946806696196517805219627916812896728515625	0.05480913071915359535690726033863029442727565765380859375	0.00091829616045634057490409940527342769200913608074188232421875	0.060199414963248987220367780537344515323638916015625	-2.191982957600216	15.659427288405048	EPHA4;CACNA2D1;IGF1R
regulation of apoptotic process (GO:0042981)	17/816	0.00017428193019712826124754945222861124420887790620326995849609375	0.048487177415694915350030669287662021815776824951171875	0.000081604597903078311747597506364826358549180440604686737060546875	0.032097808508544135863704838129706331528723239898681640625	-1.7866566730684215	15.463220996677535	MAP2K3;BARD1;EPHA4;TGFB2;FLT1;DHCR24;NGF;BMP6;IGF1R;TOX3;RNF144B;OBSCN;MCF2L;NTF3;PTK2B;ROR1;FGFR2
positive regulation of protein phosphorylation (GO:0001934)	11/413	0.0003455947290940791761203187970608041723608039319515228271484375	0.048487177415694915350030669287662021815776824951171875	0.0002227206642943067188035455306049925638944841921329498291015625	0.038093802481079387656226487024468951858580112457275390625	-1.8981792802547108	15.128951587756115	MAP2K3;GHR;EPHA4;TGFB2;FLT1;NTF3;PTK2B;ROR1;FGFR2;BMP6;IGF1R
regulation of fatty acid beta-oxidation (GO:0031998)	2/11	0.00305619765486585086289306190110437455587089061737060546875	0.08386774959864427836375710967331542633473873138427734375	0.0037558114149810572883481096795321718673221766948699951171875	0.0920818834684718756644628001595265232026576995849609375	-2.5406516222617377	14.711855952878569	PPARA;PLIN5
peptidyl-tyrosine phosphorylation (GO:0018108)	6/80	0.00003424230440558651412767676713855280468123964965343475341796875	0.020202959599296042847438314993269159458577632904052734375	0.000034305399447411648295412633924428291720687411725521087646484375	0.0202401856739728713829862272177706472575664520263671875	-1.4242562745475278	14.644272386704008	GHR;EPHA4;FLT1;PTK2B;FGFR2;IGF1R
cardiac muscle cell membrane repolarization (GO:0099622)	2/12	0.00364907526101473402013741775817834422923624515533447265625	0.09568686239994191045088456348821637220680713653564453125	0.00436140208238149605646238882172838202677667140960693359375	0.09710291428698425431065288648824207484722137451171875	-2.5947320000775034	14.564961124758442	KCND3;KCNJ3
positive regulation of lipase activity (GO:0060193)	2/11	0.00305619765486585086289306190110437455587089061737060546875	0.08386774959864427836375710967331542633473873138427734375	0.0037558114149810572883481096795321718673221766948699951171875	0.0920818834684718756644628001595265232026576995849609375	-2.485406413871437	14.39195394789556	FGFR2;PLIN5
cyclic nucleotide catabolic process (GO:0009214)	2/10	0.002513115485912592074468907554773977608419954776763916015625	0.08386774959864427836375710967331542633473873138427734375	0.0031928510538623243453226763222119188867509365081787109375	0.0920818834684718756644628001595265232026576995849609375	-2.3071302985763222	13.811017373961443	PDE2A;PDE4A
induction of positive chemotaxis (GO:0050930)	2/11	0.00305619765486585086289306190110437455587089061737060546875	0.08386774959864427836375710967331542633473873138427734375	0.0037558114149810572883481096795321718673221766948699951171875	0.0920818834684718756644628001595265232026576995849609375	-2.377839098146753	13.769076399351313	CXCL12;NTF3
ventricular cardiac muscle cell membrane repolarization (GO:0099625)	2/9	0.0020206213432172530179709024622525248560123145580291748046875	0.08386774959864427836375710967331542633473873138427734375	0.002673154552440435045845834594047119026072323322296142578125	0.08823538873157156514626109355958760716021060943603515625	-2.17509030722609	13.495022024450094	KCND3;KCNJ3
peptidyl-tyrosine modification (GO:0018212)	4/52	0.00067008654956925259478517364897243169252760708332061767578125	0.054657778146024647847323052474166615866124629974365234375	0.000682329012991127561472970430855866652564145624637603759765625	0.053676549021968701647100630225395434536039829254150390625	-1.8320170458779588	13.388570506487017	EPHA4;FLT1;PTK2B;FGFR2
membrane repolarization during cardiac muscle cell action potential (GO:0086013)	2/16	0.0065030023837329802016693491850674035958945751190185546875	0.11989910645007682832297035702140419743955135345458984375	0.00719762992287362700360997536108698113821446895599365234375	0.12676422849240120971359147006296552717685699462890625	-2.6506434392747904	13.347291987243542	KCND3;KCNJ3
regulation of sequestering of triglyceride (GO:0010889)	2/13	0.004290964744179168351145836624027651851065456867218017578125	0.1012667679626283734339864395224140025675296783447265625	0.00500899620209653735625199288961084675975143909454345703125	0.10369500909603358851374110827237018384039402008056640625	-2.43806482584645	13.290485495832398	PPARA;PLIN5
response to amyloid-beta (GO:1904645)	3/26	0.0010030406821455984354984902751084518968127667903900146484375	0.06229410552272664214346065136851393617689609527587890625	0.0011353246206609129108355826787146725109778344631195068359375	0.06698415261899386130561850904996390454471111297607421875	-1.8200986612748706	12.567270191256368	EPHA4;CACNA2D1;IGF1R
regulation of transforming growth factor beta2 production (GO:0032909)	1/7	0.052344250006147390041899569723682361654937267303466796875	0.268665596519602145608729415471316315233707427978515625	0.055833602959326607273471410053389263339340686798095703125	0.26192245503836197872971069955383427441120147705078125	-4.244283020261754	12.520266443241862	TGFB2
