Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of transcription from RNA polymerase II promoter (GO:0006357)	100/1479	0.00000000011923827192650027630225055235552687749045475129605620168149471282958984375	0.000000170808824534711651438141839266793287066548145958222448825836181640625	0.0000001353728109508052329285651520229816213714002515189349651336669921875	0.00019392155168702850088179034937496680868207477033138275146484375	-1.3768398024158794	31.460648138307423	PID1;CRTC3;CCNH;RORA;ETS1;TIAL1;YY1;RUVBL2;EPC2;DDX17;ZBTB38;EBF2;MITF;FOXP1;SUB1;PRKD2;PHIP;ERG;ZFPM2;KMT2D;NOTCH1;CTBP2;TSHZ2;GATA4;RTF1;PHF21A;DEAF1;ORC2;HIVEP1;RPRD1A;ZBED4;CREBBP;POU2F1;AUTS2;PHF12;NFATC1;FLI1;CDK8;DLG1;CNOT7;CNOT2;JMY;AGO2;NFE2L3;TCF4;CDK13;OGT;CHD8;OTUD7B;CDC73;PPP3CB;ZMYM4;TRPS1;NCK1;NCOA2;ZHX3;KLF13;TCF12;PEX2;MED26;NCOR2;KAT2B;ZEB2;ELF2;NCOR1;ZEB1;TFDP2;SLTM;THRAP3;TRAF6;RARB;ITGA6;TLR4;JDP2;RHOQ;PPARD;HDAC4;CAMK2D;USP15;SATB1;FOXK2;RNF4;HSPD1;LRP6;CUX1;TBL1X;FNIP1;FNIP2;USP9X;NFYC;TBX5;MEIS2;ACVR2A;HIPK2;KLF7;NFIA;TEF;NFIC;QRICH1;MEGF8
phosphorylation (GO:0016310)	37/387	0.0000000350680471743434202447752142360604121762435170239768922328948974609375	0.0000334899850514979685969264855405214120764867402613162994384765625	0.00000207586766797689921819109089284882685433331062085926532745361328125	0.0019824536229179384912157946274646747042424976825714111328125	-1.722370365633666	29.566167426047404	CAMK2D;DGKE;ROCK2;NUAK1;PPP3CB;PPP4R1;TLK1;FNIP2;PAK2;SRPK2;CDK19;MORC3;MAP3K1;GK;PDPK1;CSNK1A1;INSR;DYRK1A;EIF2AK3;PHKA1;PRKCA;PRPF4B;TNNI3K;MTOR;HIPK2;TGFBR2;BCKDK;CDK8;PIK3CA;STK25;TAOK1;AAK1;SIK3;PRKD2;ALPK3;ERG;CDK13
positive regulation of transcription, DNA-templated (GO:0045893)	75/1121	0.00000005003512243683623568165754814419943219405695344903506338596343994140625	0.0000358376564453839543413458945675387212759233079850673675537109375	0.000009059802364504146977527455908418829721995280124247074127197265625	0.00370804768204348322857555331211187876760959625244140625	-1.7111878057520147	28.76599213309929	KDM5A;PID1;CRTC3;CCNH;CHD8;RORA;ETS1;CDC73;PPP3CB;RUVBL2;SPIN1;NCK1;DDX17;NCOA2;ZBTB38;TCF12;EBF2;MITF;PIAS1;KAT2B;ZEB2;ELF2;MDFIC;TFDP2;THRAP3;TRAF6;KAT6A;WAC;RARB;ITGA6;PRKD2;PHIP;ERG;ZFPM2;TLR4;ASF1A;RHOQ;PPARD;HDAC4;KMT2E;KMT2D;NOTCH1;CTBP2;FOXK2;GATA4;RTF1;RNF4;LRP6;ERBB4;DEAF1;TBL1X;ATF7IP;CREBBP;POU2F1;AUTS2;NFYA;EIF2AK3;NFATC1;ESRRG;FOXN3;TBX5;MEIS2;ACVR2A;MTOR;FLI1;HIPK2;KLF7;CDK8;NFIA;NFIC;AGO2;NFE2L3;TCF4;CDK13;OGT
protein autophosphorylation (GO:0046777)	22/176	0.0000002414473337407507420667601184816053461190676898695528507232666015625	0.000115291101861208478119268094896909815361141227185726165771484375	0.00000617456650298529155832492898436925088390125893056392669677734375	0.0032798173890367619820462863344801007770001888275146484375	-1.8335714152634652	27.93742075278704	PDGFRA;CAMK2D;PDPK1;INSR;DYRK1A;EIF2AK3;PRKX;MTOR;PTK2;GRK5;ERBB4;STK25;TAOK1;TAOK2;KDR;AAK1;ULK2;PRKD2;ALPK3;TEK;PAK2;DDR2
protein phosphorylation (GO:0006468)	49/471	0.00000000001022748130770114025925176016416172212510071748425843907170929014682769775390625	0.000000029301733946563766330615171426358933626232783353771083056926727294921875	0.000000003689897841435136587953558899295562756304178719801711849868297576904296875	0.000010571557315711666060202740535789445175396394915878772735595703125	-1.0974923650823185	27.773078984313774	PPP3CB;PPP4R1;KDR;TLK1;ERC1;PDGFRA;MORC3;PDPK1;DYRK1A;PHKA1;PRKCA;PRPF4B;TNNI3K;TGFBR2;PIK3CA;SIK3;ULK2;PRKD2;ALPK3;ERG;TLR4;DDR2;CAMK2D;USP15;ROCK2;PRKX;NUAK1;GRK5;ERBB4;FNIP2;PAK2;MAP2K6;SRPK2;CDK19;MAP3K1;CSNK1A1;INSR;EIF2AK3;MTOR;PTK2;HIPK2;CDK8;ABI2;STK25;TAOK1;TAOK2;AAK1;TEK;CDK13
heart development (GO:0007507)	20/150	0.00000029585212453139524590151857204312069171692201052792370319366455078125	0.00012108804811177819606669847640745274475193582475185394287109375	0.00000686872751630735549322435973262912511927424930036067962646484375	0.0032798173890367619820462863344801007770001888275146484375	-1.8405871064005925	27.670293408536885	POPDC3;NOTCH1;INSR;CHD7;GATA4;CACNA1C;TBX5;PTK2;TGFBR2;KAT2B;ERBB4;DLC1;NF1;PKP2;RARB;PLCE1;ALPK3;TEK;MEGF8;ZFPM2
nuclear body organization (GO:0030575)	4/8	0.000093067740111917087180055940809353387521696276962757110595703125	0.0088879691806880815885261171160891535691916942596435546875	0.000789647934638706906936012064335272953030653297901153564453125	0.072755349578951078459709833623492158949375152587890625	-2.8952800491274027	26.874519083329776	SRPK2;USPL1;ETS1;HIPK2
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	57/849	0.00000199603052991848412057768365202026217275488306768238544464111328125	0.000519875224383314275648781954686228345963172614574432373046875	0.000107525583228599433210058433640909925088635645806789398193359375	0.0236969843038413348346171716229946468956768512725830078125	-1.8818770245572511	24.69841288653311	PID1;CRTC3;CCNH;CHD8;RORA;ETS1;CDC73;PPP3CB;RUVBL2;NCK1;DDX17;NCOA2;ZBTB38;TCF12;EBF2;MITF;KAT2B;ZEB2;TFDP2;THRAP3;TRAF6;SUB1;RARB;ITGA6;PRKD2;PHIP;ERG;ZFPM2;TLR4;RHOQ;PPARD;HDAC4;KMT2D;NOTCH1;CTBP2;FOXK2;GATA4;RTF1;RNF4;LRP6;TBL1X;CREBBP;POU2F1;AUTS2;NFATC1;TBX5;MEIS2;ACVR2A;HIPK2;KLF7;CDK8;NFIA;NFIC;AGO2;TCF4;CDK13;OGT
regulation of histone deacetylase activity (GO:1901725)	3/7	0.00134456040995489865645662330706500142696313560009002685546875	0.04975655031420291030119784636553958989679813385009765625	0.005309222831833894894193459634834653115831315517425537109375	0.195396234124894319084120297702611424028873443603515625	-3.448879052277156	22.802912767956695	KDM5A;CAMK2D;PRKD2
positive regulation of vasculature development (GO:1904018)	14/105	0.00001757725397479874989738191093380237361998297274112701416015625	0.0023980396494189724042322975350316482945345342159271240234375	0.00016178172451185380610085007280218860614695586264133453369140625	0.029344915636905118117017110535016399808228015899658203125	-2.0607920750160966	22.56341640592095	PDPK1;GAB1;PRKCA;GATA4;ETS1;HIPK2;RAP1A;AGO2;KDR;RAPGEF2;PRKD2;TEK;SASH1;RAPGEF3
regulation of transcription, DNA-templated (GO:0006355)	90/1599	0.0000045432333102251717398705789519031128520509810186922550201416015625	0.00108469695281625971329531044062832734198309481143951416015625	0.0004713781549553975789255966244439832735224626958370208740234375	0.051942246690277464604701407324682804755866527557373046875	-1.819302780021269	22.3808292314067	KDM5A;CHD8;CHD7;HP1BP3;ASH2L;RORA;ETS1;TIAL1;YY1;PPP3CB;DACH1;ZMYM4;RUVBL2;SPIN1;EPC2;ERC1;DDX17;NCOA2;ZHX3;KLF13;ZBTB38;TCF12;MITF;MED26;FOXP1;PIAS1;ELF2;ZEB1;MDFIC;TFDP2;SLTM;THRAP3;TRAF6;SUB1;KAT6A;WAC;PHIP;ERG;ZFPM2;JDP2;PPARD;HDAC4;KMT2E;KMT2D;CAMK2D;NOTCH1;CTBP2;SATB1;TSHZ2;FOXK2;PBXIP1;GATA4;BAZ2B;RNF4;PHF21A;HSPD1;LRP6;CUX1;ERBB4;DEAF1;HIVEP1;APBB2;TBL1X;ZBED4;ATF7IP;KDM4A;CREBBP;POU2F1;NFYA;ASCC1;NFYC;INSR;PHF12;NFATC1;ESRRG;FOXN3;TBX5;FLI1;HIPK2;KLF7;CNOT7;NFIA;TEF;CNOT2;JMY;NFE2L3;NUP35;QRICH1;TCF4;OGT
morphogenesis of an epithelial sheet (GO:0002011)	4/12	0.000588257541760660979633656975096300811856053769588470458984375	0.028089297619071564027226628468270064331591129302978515625	0.0025732716337872481825177484182631815201602876186370849609375	0.1319283860359440063714231428093626163899898529052734375	-2.9230808163442568	21.742885649554708	NOTCH1;MPP5;LRP6;ARHGAP12
circulatory system development (GO:0072359)	16/110	0.000001396582392696645394888107886977035576592243160121142864227294921875	0.0004001208555075888811773665576509984020958654582500457763671875	0.0000217825066616244485150945264795296907323063351213932037353515625	0.006384230877032675936788574944102947483770549297332763671875	-1.597947483769466	21.542700964654703	POPDC3;NOTCH1;NXN;GATA4;CACNA1C;TBX5;TGFBR2;KAT2B;ERBB4;NF1;PKP2;RARB;PLCE1;ALPK3;TEK;ZFPM2
cellular protein modification process (GO:0006464)	63/1002	0.0000049434538028214323289043392872788018621577066369354724884033203125	0.001089461165006415550859930618798898649401962757110595703125	0.000262115490877889815990453570293539087288081645965576171875	0.034134585516597926169168886190163902938365936279296875	-1.7309705807580194	21.148040153100357	PIGU;PPP2R2A;DUSP16;CDC14B;PPP1CB;PPP3CB;PPP4R1;B3GALT2;TLK1;LARGE1;MORC3;WSB2;PDPK1;FBXW7;DYRK1A;PHKA1;PRKCA;PRPF4B;TNNI3K;COMMD1;FBXO11;TGFBR2;RBX1;PIK3CA;SIK3;B3GNT2;PRKD2;ALPK3;ERG;CAMK2D;PHLPP1;MTMR3;PSMD11;ROCK2;NUAK1;ST8SIA4;PGGT1B;SOCS6;FNIP2;PAK2;SRPK2;MBTPS1;CDK19;METAP1D;MAP3K1;FEM1B;CSNK1A1;INSR;EIF2AK3;PPP2R3A;SSH2;MTOR;HIPK2;CUL4A;CDK8;UBLCP1;STK25;TAOK1;ASB8;AAK1;CALU;CDK13;ASB3
positive regulation of cell migration by vascular endothelial growth factor signaling pathway (GO:0038089)	3/8	0.0020954560117179298929512842875055866898037493228912353515625	0.0612600150364476514486256064628832973539829254150390625	0.007096701686449662267730520426312068593688309192657470703125	0.2140215824387187437682911195224733091890811920166015625	-3.4258852851004953	21.130805907323207	KDR;GAB1;PRKD2
regulation of focal adhesion assembly (GO:0051893)	9/45	0.0000214288219430471587787466469787744927089079283177852630615234375	0.0027906170394013684633860439276986653567291796207427978515625	0.00017412340866575462430647369682645830835099332034587860107421875	0.029344915636905118117017110535016399808228015899658203125	-1.924248787260767	20.68716329728174	MACF1;NRP1;ROCK2;DLC1;KDR;TEK;EFNA5;CLASP1;PTK2
mitochondrial fragmentation involved in apoptotic process (GO:0043653)	4/10	0.000263949846496825085533088905975773741374723613262176513671875	0.018067346117341141764622847176724462769925594329833984375	0.00150321065641106118952741166339137635077349841594696044921875	0.097163524157233893685514658500324003398418426513671875	-2.4673884646784843	20.330667675245635	ERBB4;BNIP3;VPS35;MFF
positive regulation of nucleic acid-templated transcription (GO:1903508)	36/503	0.0000432867724301991946798950916530657195835374295711517333984375	0.00459320751898224799436576404332299716770648956298828125	0.000707260334226740929909615918091958519653417170047760009765625	0.0675433619186537603784614702817634679377079010009765625	-1.9591340074545474	19.68471917255231	HDAC4;KDM5A;KMT2E;NOTCH1;CHD8;RORA;GATA4;RNF4;ETS1;LRP6;PPP3CB;ERBB4;DEAF1;SPIN1;TBL1X;ATF7IP;DDX17;CREBBP;NFYA;NFATC1;ESRRG;MITF;FOXN3;TBX5;FLI1;HIPK2;PIAS1;ELF2;MDFIC;THRAP3;KAT6A;NFE2L3;WAC;PHIP;TCF4;PPARD
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	32/397	0.00001140629322318523005568881301119432691848487593233585357666015625	0.00192229588731915811659900494845487628481350839138031005859375	0.0002086791143774873792150759133079418461420573294162750244140625	0.03132453051442370128842895837806281633675098419189453125	-1.7185790385459034	19.559741493552753	NCKAP1;NRP1;ROCK2;PIK3C2A;EFNA5;PTPRG;TIAL1;SDCBP;NCSTN;SIPA1L1;ERBB4;KDR;PAK2;NCK1;PDGFRA;ANGPT1;INSR;EIF2AK3;GAB1;PTK2;RAB14;PIK3CA;RASA1;RAPGEF1;ELMO1;RAPGEF2;PRKD2;PHIP;TEK;SOS1;RHOQ;DDR2
regulation of endothelial cell migration (GO:0010594)	13/70	0.0000007987209154863304568847787688612438472546273260377347469329833984375	0.00025425949142981519625339448253953378298319876194000244140625	0.000013307706236612146309498949658944866314413957297801971435546875	0.004765822295986725000427330911634271615184843540191650390625	-1.3918114614940416	19.54138677972185	NRP1;ANGPT1;ROCK2;PRKCA;SYNJ2BP;ETS1;PTK2;FOXP1;KDR;NF1;PRKD2;TEK;SASH1
Rap protein signal transduction (GO:0032486)	4/11	0.0004033097351772439221641308737531517181196250021457672119140625	0.022220815216976996797626497937017120420932769775390625	0.001988949333246710880762631035167942172847688198089599609375	0.11629264979085361664257192160221165977418422698974609375	-2.482710349213726	19.404381742475362	RAP1A;RAPGEF1;RAPGEF2;RAPGEF3
negative regulation of sodium ion transmembrane transport (GO:1902306)	4/11	0.0004033097351772439221641308737531517181196250021457672119140625	0.022220815216976996797626497937017120420932769775390625	0.001988949333246710880762631035167942172847688198089599609375	0.11629264979085361664257192160221165977418422698974609375	-2.43832683174029	19.057488792840246	CAMK2D;HECW2;NEDD4;COMMD1
epidermal growth factor receptor signaling pathway (GO:0007173)	9/58	0.0001716961850085704116043727740503754830569960176944732666015625	0.01276194776293430865887756908705341629683971405029296875	0.000905415523956329729680925222368159666075371205806732177734375	0.072755349578951078459709833623492158949375152587890625	-2.1183921450107364	18.36600234412298	GAREM1;PIK3CA;PDPK1;GAB1;PLCE1;KRAS;PIK3C2A;SOS1;PTK2
regulation of cell-substrate junction assembly (GO:0090109)	5/16	0.00016398023715533636968100239528212114237248897552490234375	0.01271626990562136315376928763498654006980359554290771484375	0.000939597882869525340317207184881453940761275589466094970703125	0.072755349578951078459709833623492158949375152587890625	-2.0984420235985315	18.289526793724917	MACF1;ROCK2;EFNA5;CLASP1;PTK2
positive regulation of potassium ion transmembrane transport (GO:1901381)	5/16	0.00016398023715533636968100239528212114237248897552490234375	0.01271626990562136315376928763498654006980359554290771484375	0.000939597882869525340317207184881453940761275589466094970703125	0.072755349578951078459709833623492158949375152587890625	-2.0384363352821087	17.766531337144656	KCNQ1;ANK2;ATP1B3;ANO6;ATP1B1
semaphorin-plexin signaling pathway involved in neuron projection guidance (GO:1902285)	4/14	0.00112490674420951818242297992611611334723420441150665283203125	0.044467257960081607581770413162303157150745391845703125	0.004074141828099738828206088925298899994231760501861572265625	0.174215169216503762417147527230554260313510894775390625	-2.5938750304902642	17.61255448536705	NRP1;PLXNA2;PLXNC1;PLXNA4
positive regulation of gene expression (GO:0010628)	50/772	0.00002246645320506748347310667368592618231559754349291324615478515625	0.0027985386275007971372541515364673614385537803173065185546875	0.0006217609974098173460099747700269290362484753131866455078125	0.065975750280708400641316302426275797188282012939453125	-1.6399565144122554	17.553253773791045	KDM5A;PID1;CHD8;RORA;ETS1;PPP3CB;SPIN1;VPS35;DDX17;DYRK1A;ANK2;MITF;LARP4B;PIAS1;KAT2B;ELF2;MDFIC;THRAP3;KAT6A;WAC;PHIP;TLR4;PPARD;HDAC4;KMT2E;NOTCH1;ROCK2;POLDIP3;GATA4;RNF4;LRP6;ERBB4;DEAF1;TBL1X;SF3B1;SRPK2;ATF7IP;CREBBP;NFYA;EIF2AK3;NFATC1;ESRRG;FOXN3;TBX5;MTOR;FLI1;HIPK2;NFE2L3;KRAS;TCF4
regulation of cellular component organization (GO:0051128)	20/141	0.0000001054571571222617047531886305157533545440173838869668543338775634765625	0.000060426951031055956757402636281284458164009265601634979248046875	0.0000029694009621328103153635978583846366518628201447427272796630859375	0.002126833439127625603737303805473857210017740726470947265625	-1.0862896225447507	17.451200486211786	ABCA1;CAMK2D;ZRANB1;HIP1;EFNA5;MTOR;CAMSAP2;ITCH;RAB20;RAP1A;RAB14;ZMYM4;NEDD4;TAOK2;RAPGEF1;AAK1;RAPGEF2;PLCE1;PHIP;QRICH1
peptidyl-tyrosine modification (GO:0018212)	9/52	0.0000715048307876570512532643508762930650846101343631744384765625	0.0070641841450564644977472283926545060239732265472412109375	0.0004489101402950802506379435197203520147013477981090545654296875	0.051942246690277464604701407324682804755866527557373046875	-1.816063202629298	17.335677229719707	PDGFRA;ABI2;ERBB4;INSR;KDR;DYRK1A;TEK;PTK2;DDR2
transcription from RNA polymerase II promoter (GO:0006366)	40/486	0.0000005488273783145885028123055031368249245815604808740317821502685546875	0.000196548804858911996783221720619394545792602002620697021484375	0.0000222835283666062011092602601625145553043694235384464263916015625	0.006384230877032675936788574944102947483770549297332763671875	-1.197157401314238	17.257600819185367	KDM5A;NOTCH1;CCNH;POLDIP3;RORA;GATA4;MLLT1;RTF1;ETS1;AFF4;CDC73;TRPS1;HIVEP1;SNRPD3;RPRD1A;CREBBP;POU2F1;RNGTT;KLF13;NFYA;CPSF2;NFATC1;ESRRG;ASH1L;RPRD2;TBX5;MEIS2;MED26;WDR33;CDK8;KAT2B;NCOR1;THRAP3;NFIC;NFE2L3;RARB;TCF4;TARDBP;CDK13;PPARD
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	4/12	0.000588257541760660979633656975096300811856053769588470458984375	0.028089297619071564027226628468270064331591129302978515625	0.0025732716337872481825177484182631815201602876186370849609375	0.1319283860359440063714231428093626163899898529052734375	-2.2930715288930146	17.056658769128788	TNRC6C;CNOT7;AGO2;TNRC6B
semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287)	3/10	0.004260799451071915940059131600037289899773895740509033203125	0.0910984360247838742541404144503758288919925689697265625	0.01162677842393553505340175746596287353895604610443115234375	0.2566720288902615276782626096974126994609832763671875	-3.1035391178925376	16.94004282416815	PLXNA2;PLXNC1;PLXNA4
positive regulation of endothelial cell migration (GO:0010595)	11/71	0.00003376462477497021411228239617940971584175713360309600830078125	0.0038694259992115864234263344911823878646828234195709228515625	0.0002544594780399752373227506563324595845188014209270477294921875	0.034134585516597926169168886190163902938365936279296875	-1.5836643079663935	16.305561184307518	NRP1;ANGPT1;PDPK1;ROCK2;KDR;PRKD2;PRKCA;TEK;ETS1;SASH1;FOXP1
axon extension (GO:0048675)	5/21	0.000660593117698361482863222970962624458479695022106170654296875	0.0305257948742871897118700275086666806600987911224365234375	0.0025979574184737340945827721583327729604206979274749755859375	0.1319283860359440063714231428093626163899898529052734375	-2.2023999532663026	16.126792771015456	NRP1;PPP3CB;AUTS2;USP9X;ULK2
positive regulation of epithelial cell migration (GO:0010634)	12/75	0.000010649613915670338740670185229131305959526798687875270843505859375	0.0019069464917747199796116408521129415021277964115142822265625	0.000102658358788292538459931135808034241563291288912296295166015625	0.0236969843038413348346171716229946468956768512725830078125	-1.3807550783288063	15.809627584538946	NRP1;ANGPT1;ROCK2;KDR;PRKD2;PRKCA;TEK;ETS1;CLASP1;MTOR;SASH1;FOXP1
