Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
tube closure (GO:0060606)	5/30	0.0000226247168901933526905835558640234239646815694868564605712890625	0.01118415171605224682493950894013323704712092876434326171875	0.00006622649754777862481612549228060515815741382539272308349609375	0.03273796528778523395875055257420171983540058135986328125	-2.320199743224222	24.817941336228035	DLC1;COBL;LRP2;PRICKLE1;PAX2
neural tube closure (GO:0001843)	6/34	0.00000234063435249082401443825908471385588427438051439821720123291015625	0.0034711607447438920341642454303610065835528075695037841796875	0.000008988580637169144610019132224376647855024202726781368255615234375	0.01333006508492184070957531361045766971074044704437255859375	-1.8336991540310048	23.774071951043712	KDM2B;DLC1;COBL;LRP2;PRICKLE1;PAX2
primary neural tube formation (GO:0014020)	5/29	0.0000190329724636982281957796325766452127936645410954952239990234375	0.01118415171605224682493950894013323704712092876434326171875	0.0000573371859445654939485721712788546255978872068226337432861328125	0.03273796528778523395875055257420171983540058135986328125	-2.0566157629670734	22.354051226319402	DLC1;COBL;LRP2;PRICKLE1;PAX2
fucose catabolic process (GO:0019317)	2/10	0.0056704784283348498574728324683746905066072940826416015625	0.1942513991197963585388919227625592611730098724365234375	0.00927964042975791374157079616225018980912864208221435546875	0.3127660626666133314444095958606339991092681884765625	-3.6628575892806747	18.946064164926025	FUT8;FUT10
cGMP-mediated signaling (GO:0019934)	2/9	0.004571203132164990134977955449357978068292140960693359375	0.1883081734722411304527867059732670895755290985107421875	0.007796138335337522706769419755801209248602390289306640625	0.312477652737987721121015738390269689261913299560546875	-3.2434409120717627	17.47559100722559	KCNC2;PDE3A
regulation of oligodendrocyte differentiation (GO:0048713)	3/13	0.000404388532213696499061084121962039716891013085842132568359375	0.1199416386545823776099695123775745742022991180419921875	0.0009292398147136477805363430348961628624238073825836181640625	0.27561252904406796648828503748518414795398712158203125	-2.224983749493331	17.384097136582145	NOTCH1;TENM4;TNFRSF21
L-fucose catabolic process (GO:0042355)	2/10	0.0056704784283348498574728324683746905066072940826416015625	0.1942513991197963585388919227625592611730098724365234375	0.00927964042975791374157079616225018980912864208221435546875	0.3127660626666133314444095958606339991092681884765625	-3.356418076139624	17.361011364721687	FUT8;FUT10
L-fucose metabolic process (GO:0042354)	2/10	0.0056704784283348498574728324683746905066072940826416015625	0.1942513991197963585388919227625592611730098724365234375	0.00927964042975791374157079616225018980912864208221435546875	0.3127660626666133314444095958606339991092681884765625	-3.3180354308963684	17.162477831306013	FUT8;FUT10
actin filament polymerization (GO:0030041)	3/19	0.00130146730221281092809704205137677490711212158203125	0.1883081734722411304527867059732670895755290985107421875	0.0024196625238760952232575096587652296875603497028350830078125	0.312477652737987721121015738390269689261913299560546875	-2.5413121567850268	16.88514622550302	PREX1;COBLL1;COBL
coronary vasculature morphogenesis (GO:0060977)	2/9	0.004571203132164990134977955449357978068292140960693359375	0.1883081734722411304527867059732670895755290985107421875	0.007796138335337522706769419755801209248602390289306640625	0.312477652737987721121015738390269689261913299560546875	-3.0993254428083334	16.69909990813127	NOTCH1;LRP2
actin filament network formation (GO:0051639)	2/9	0.004571203132164990134977955449357978068292140960693359375	0.1883081734722411304527867059732670895755290985107421875	0.007796138335337522706769419755801209248602390289306640625	0.312477652737987721121015738390269689261913299560546875	-2.9696541770842697	16.00043387208638	COBLL1;COBL
positive regulation of transcription of Notch receptor target (GO:0007221)	3/18	0.0011053886296877187510323548025326090282760560512542724609375	0.1883081734722411304527867059732670895755290985107421875	0.0021087778854235708810016536318698854302056133747100830078125	0.312477652737987721121015738390269689261913299560546875	-2.2638123786600346	15.411034758787993	NOTCH1;WWC1;MAML3
basement membrane organization (GO:0071711)	2/9	0.004571203132164990134977955449357978068292140960693359375	0.1883081734722411304527867059732670895755290985107421875	0.007796138335337522706769419755801209248602390289306640625	0.312477652737987721121015738390269689261913299560546875	-2.8211498028307735	15.200295445769138	FLRT2;NID2
sensory organ morphogenesis (GO:0090596)	2/8	0.0035826965925359771127090002806880875141359865665435791015625	0.1883081734722411304527867059732670895755290985107421875	0.00643076363885569136924491573381601483561098575592041015625	0.312477652737987721121015738390269689261913299560546875	-2.6890975340398344	15.14402795651561	COL5A2;GLI3
regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000095)	2/8	0.0035826965925359771127090002806880875141359865665435791015625	0.1883081734722411304527867059732670895755290985107421875	0.00643076363885569136924491573381601483561098575592041015625	0.312477652737987721121015738390269689261913299560546875	-2.657013934975529	14.96334469195378	DAB2;MLLT3
negative regulation of chemotaxis (GO:0050922)	2/12	0.00819066058760960051532418191300166654400527477264404296875	0.2140191107336584241949140050564892590045928955078125	0.0125886749510788660544324812917693634517490863800048828125	0.323747336817359288030360175980604253709316253662109375	-3.0528786353000816	14.66835136978908	NOTCH1;ROBO1
membrane depolarization during cardiac muscle cell action potential (GO:0086012)	3/18	0.0011053886296877187510323548025326090282760560512542724609375	0.1883081734722411304527867059732670895755290985107421875	0.0021087778854235708810016536318698854302056133747100830078125	0.312477652737987721121015738390269689261913299560546875	-2.137095457334315	14.548401928662216	CACNA1D;SLC8A1;CACNA1G
positive regulation of epithelial to mesenchymal transition (GO:0010718)	4/41	0.00127597131919236946029361234877796960063278675079345703125	0.1883081734722411304527867059732670895755290985107421875	0.002282164353403543129161779035030122031457722187042236328125	0.312477652737987721121015738390269689261913299560546875	-2.1275387086547863	14.178019164543013	TIAM1;DAB2;NOTCH1;MTOR
urate transport (GO:0015747)	2/11	0.006877842101798525668854278336539209703914821147918701171875	0.1999968595483767319631596137696760706603527069091796875	0.01087816745943714739908170230364703456871211528778076171875	0.323747336817359288030360175980604253709316253662109375	-2.7783698780438595	13.834754790053875	SLC22A13;SLC17A1
nucleoside metabolic process (GO:0009116)	2/11	0.006877842101798525668854278336539209703914821147918701171875	0.1999968595483767319631596137696760706603527069091796875	0.01087816745943714739908170230364703456871211528778076171875	0.323747336817359288030360175980604253709316253662109375	-2.763378244178659	13.760104693943077	ERH;MACROD2
calcium ion import (GO:0070509)	3/29	0.004506509916177019355043587012232819688506424427032470703125	0.1883081734722411304527867059732670895755290985107421875	0.007118598467238913644894449106459433096460998058319091796875	0.312477652737987721121015738390269689261913299560546875	-2.4866349557482494	13.43337962540982	CACNA1D;SLC8A1;CACNA1G
camera-type eye morphogenesis (GO:0048593)	2/12	0.00819066058760960051532418191300166654400527477264404296875	0.2140191107336584241949140050564892590045928955078125	0.0125886749510788660544324812917693634517490863800048828125	0.323747336817359288030360175980604253709316253662109375	-2.7919277150112185	13.414544636430149	TENM3;KDM2B
