Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
epidermal growth factor receptor signaling pathway (GO:0007173)	12/58	0.00000062615366238369435904144617854871768258817610330879688262939453125	0.0002927268371643771435568204264399128078366629779338836669921875	0.00000663775099545494521344028704401551976843620650470256805419921875	0.0037237783084502242003654970403658808209002017974853515625	-2.1610789382945184	30.868138461008375	ADAM17;DGKD;GAREM1;PXN;ABL1;GAB1;ERBIN;ABL2;PIK3C2A;SOS1;EPS15;PTK2
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	61/849	0.00000008440237256657881951163826562967162914219443337060511112213134765625	0.000078916218349751190790607180414184540495625697076320648193359375	0.00000182762520365533893970471333856320228505865088663995265960693359375	0.00170882956541774174048786694157797683146782219409942626953125	-1.8951214019239129	30.867112619935927	ATF1;BMPR2;CRTC1;AKAP8L;PRDM2;CCNC;AHR;NR3C1;GABPB1;CDC73;NIPBL;MECOM;ZMIZ1;EP300;CCNL1;TEAD1;RNF111;TEAD3;TEAD4;NCOA1;DDX17;MKL2;NCOA2;PPP1R12A;TFEB;TET2;RUNX2;SUB1;IRF2;ITGA6;PHIP;NCOA7;CLOCK;NFIX;KMT2A;INSIG2;GLIS3;FOXO4;NR2C2;LRP6;ATAD2B;DHX36;PPARGC1A;RREB1;WWTR1;CREBBP;SMAD4;SMAD3;AUTS2;ECD;DAB2IP;HIPK2;SMAD7;MLLT10;CDK8;NFIA;AGO2;CREBRF;CEBPZ;SSBP3;LPIN2
transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	4/7	0.000047861977734338094123654749889595905187889002263545989990234375	0.00671264237724091862580255707371179596520960330963134765625	0.000447920834140706140662213652348100367817096412181854248046875	0.056088810556759509384772144358066725544631481170654296875	-2.957175095710775	29.415580035613683	PTPRD;TRIO;FRS2;PTPRF
phosphorylation (GO:0016310)	35/387	0.00000031673488284930906281990146793059448526719279470853507518768310546875	0.00022211033659807796866898776944054816340212710201740264892578125	0.00000398702826219210403817065635490024533282849006354808807373046875	0.0027959035688622131676783766351945814676582813262939453125	-1.7207110892524287	25.750786874285826	GSK3B;PANK2;DGKD;MAST2;LIMD1;PPP4R1;STK38;ABL1;TLK2;MAPK6;PAK2;CDK17;MAP3K2;CDK19;CSNK2A1;DAPK1;PRKCE;DYRK1A;PHKA1;EIF2AK4;OXSR1;CDC42BPB;CDC42BPA;HIPK2;TGFBR2;CDK8;SNRK;RPS6KB1;TAOK3;WNK1;PEAK1;BMP2K;AAK1;BIRC6;RAF1
asymmetric protein localization (GO:0008105)	4/9	0.00016287889584597808260817142222975917320582084357738494873046875	0.0163169751017131596515508107358982670120894908905029296875	0.00091627162907193513731451961490392932319082319736480712890625	0.07718578389040094134276870363464695401489734649658203125	-2.872778097399605	25.057817306815775	PARD3;SHROOM2;ERBIN;SHROOM3
positive regulation of transcription, DNA-templated (GO:0045893)	72/1121	0.00000045327460541627763461450706557187562140143199940212070941925048828125	0.0002542870536385317807061279271607645569019950926303863525390625	0.000008973744579201228113783488093968543353184941224753856658935546875	0.004195225590776574704776624713531418819911777973175048828125	-1.709565557695937	24.97122697286483	ATF1;BMPR2;CRTC1;RNF14;AKAP8L;PRDM2;CCNC;AHR;NR3C1;GABPB1;CDC73;MECOM;ZMIZ1;ZXDC;SPIN1;EP300;CCNL1;TEAD1;RNF111;TEAD3;ARHGEF11;TEAD4;NCOA1;UTP15;DDX17;MKL2;NCOA2;PPP1R12A;FBXW11;TFEB;TET2;ARID1B;RUNX2;PIAS2;KAT6B;IRF2;WAC;ITGA6;PHIP;NCOA7;CLOCK;NFIX;KMT2A;GLIS3;FOXO4;NR2C2;LRP6;ATAD2B;ERBB4;DEAF1;DHX36;PPARGC1A;RREB1;MAP3K2;WWTR1;CREBBP;SMAD4;SMAD3;AUTS2;ECD;DAB2IP;FOXN3;HIPK2;SMAD7;MLLT10;CDK8;NFIA;AGO2;CREBRF;CEBPZ;SSBP3;LPIN2
protein phosphorylation (GO:0006468)	46/471	0.000000000369532051658567693773123512255055454767127542936577810905873775482177734375	0.000001036537404902282466905298792536616048209907603450119495391845703125	0.0000000141083321090914689773107302595868406402956907186307944357395172119140625	0.0000395738715660015689576899100554641108828946016728878021240234375	-1.0974923650823185	23.83619921935992	GSK3B;USP15;MAST4;MAST2;IGF1R;PPP4R1;ERBB4;STK38;ABL1;TLK2;ABL2;MAPK6;MAP3K7;PAK2;EPHB4;CDK17;MAP3K2;CSNK1G3;CDK19;CSNK2A1;DAPK1;PRKCE;DYRK1A;DAB2IP;PHKA1;EIF2AK4;OXSR1;CDC42BPB;CDC42BPA;PTK2;HIPK2;TGFBR2;SMAD7;CDK8;SNRK;RPS6KB1;TAOK3;WNK1;PEAK1;ABI1;BMP2K;AAK1;BIRC6;RAF1;DDR2;CSNK1G1
regulation of wound healing, spreading of epidermal cells (GO:1903689)	3/7	0.00134456040995489865645662330706500142696313560009002685546875	0.0618277368839916519061006283664028160274028778076171875	0.00460754938344231680658058536437238217331469058990478515625	0.195052284120440011516706135807908140122890472412109375	-3.563203491798724	23.558790310236585	RREB1;PHLDB2;CLASP1
regulation of transcription from RNA polymerase II promoter (GO:0006357)	92/1479	0.0000000434609344393646255093953769711723200686037671403028070926666259765625	0.0000609539605512088894143617190390926907639368437230587005615234375	0.0000015130970568269526326595116050288680753510561771690845489501953125	0.00170882956541774174048786694157797683146782219409942626953125	-1.3768398024158794	23.339366854524943	ATF1;SMARCAL1;BMPR2;CRTC1;RNF14;WWC2;AKAP8L;OTUD7B;PRDM2;CCNC;AHR;NR3C1;GABPB1;N4BP2L2;CDC73;ARHGAP35;NIPBL;ZMYM2;MECOM;ZMIZ1;TRPS1;ZMYM6;EP300;CCNL1;TEAD1;RNF111;TEAD3;TEAD4;NCOA1;DDX17;MKL2;NCOA2;PPP1R12A;TFEB;TET2;ARID5B;KCTD1;RFX1;RUNX2;SLTM;SUB1;IRF2;ITGA6;PHIP;NCOA7;CLOCK;MCPH1;USP15;URI1;NFIX;KMT2A;GLIS3;FOXO4;NR2C2;HDAC9;LRP6;ATAD2B;CUX1;DEAF1;ELMSAN1;DHX36;ORC2;HIVEP1;BRD8;FNIP1;PPARGC1A;RREB1;WWTR1;CREBBP;SMAD4;SMAD3;AUTS2;USP9X;ECD;DAB2IP;MED13L;HIPK2;SMAD7;MLLT10;CDK8;DLG1;NFIA;CNOT2;SP4;JMY;AGO2;CREBRF;QRICH1;CEBPZ;SSBP3;LPIN2;RCOR1
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	34/397	0.0000016154392540013358888525800416413602533793891780078411102294921875	0.00064732958678196382031055922112727785133756697177886962890625	0.00001590058444734502942382974033375120370692457072436809539794921875	0.0059528402385245655914491891280704294331371784210205078125	-1.7335604622478569	23.118595303560486	BMPR2;IRS1;PXN;NEDD9;FOXO4;PIK3C2A;GIGYF2;IGF1R;PTPRG;PTBP1;SPRED2;SIPA1L1;ERBB4;NTF3;ABL1;PDK4;ABL2;ITGAV;SHOC2;PAK2;EPHB4;APPL1;YES1;GAB1;FRS2;MTSS1;PTK2;VAV2;APC;ABI1;ELMO2;PHIP;SOS1;DDR2
