"Term"	"interest_hit"	"background_hit"	"original_score"	"corrected_score"	"Genes"	"GO_process"
"mRNA binding (GO:0003729)"	"mRNA binding (GO:0003729)"	104	640	0.301470762961082	0.588973768564893	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;SRRM4;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;DHFR;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;CLUH;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"single-stranded RNA binding (GO:0003727)"	"single-stranded RNA binding (GO:0003727)"	103	631	0.284512874169216	0.588775284964885	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;LACTB2;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;AGO4;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"RNA cap binding (GO:0000339)"	"RNA cap binding (GO:0000339)"	102	626	0.292292400453381	0.588775284964885	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;SNUPN;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"miRNA binding (GO:0035198)"	"miRNA binding (GO:0035198)"	102	627	0.298551770751915	0.588775284964885	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;AGO4;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"snoRNA binding (GO:0030515)"	"snoRNA binding (GO:0030515)"	102	629	0.311229309182207	0.606477652552748	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;NUDT4;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"translation factor activity, RNA binding (GO:0008135)"	"translation factor activity, RNA binding (GO:0008135)"	102	632	0.3306167904951	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;EEF1A2;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"21U-RNA binding (GO:0034583)"	"21U-RNA binding (GO:0034583)"	101	625	0.325955410220562	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"alpha-aminoacyl-tRNA binding (GO:1904678)"	"alpha-aminoacyl-tRNA binding (GO:1904678)"	101	625	0.325955410220562	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"base pairing with RNA (GO:0000498)"	"base pairing with RNA (GO:0000498)"	101	625	0.325955410220562	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
"GU repeat RNA binding (GO:1990605)"	"GU repeat RNA binding (GO:1990605)"	101	625	0.325955410220562	0.617805809849087	"DBR1;RPL3;RPL32;RTCA;FCF1;CISD2;MSI2;YARS2;EFTUD2;FBL;RPS11;PDIA3;RBFOX1;AQR;RPL23;FNDC3A;JMJD6;ILF3;DDX39B;SRSF2;SNRPG;SRSF5;EZR;KHDRBS3;RBM8A;TWF2;GTF2E2;ZFP36L1;FXR1;MRPL20;ZMAT1;UBC;JUN;RPL41;PNO1;FAM103A1;EIF2S2;EIF2S1;RPL3L;SRPK1;LSM8;RPS25;DIAPH1;TBL3;UBA1;LSM14B;FARSA;RPS21;ARF1;ZC3H3;DDX42;TFB1M;MTO1;RBM3;NGRN;MRPL40;XPO5;APOBEC1;CCT3;NCBP1;PARP1;PRMT1;RPL13A;TFB2M;TRNAU1AP;SAFB;RPUSD4;PSMA1;TUT1;MYH9;RP9;HNRNPH3;ALDOA;USO1;NOL7;IBA57;SLC3A2;REPIN1;BCLAF1;FIP1L1;PUF60;CTNNA1;FLNA;RALY;SRSF10;SRSF11;HNRNPA0;CCT4;CAVIN1;DDX31;TRMT1;LRPPRC;RSL1D1;ZNFX1;NOVA1;PSMC1;EIF3H;UBAP2;FAM98B;TRIM32;EIF3A"	"MF"
