"Term"	"interest_hit"	"background_hit"	"original_score"	"corrected_score"	"Genes"	"GO_process"
"protein tyrosine kinase inhibitor activity (GO:0030292)"	"protein tyrosine kinase inhibitor activity (GO:0030292)"	6	27	0.00286158232714306	0.123636413649481	"RTN4R;CDKN1B;RTN4RL1;FGFR1OP;SMCR8;LRRC66"	"MF"
"protein kinase inhibitor activity (GO:0004860)"	"protein kinase inhibitor activity (GO:0004860)"	6	29	0.00441812562943777	0.129598351796841	"RTN4R;CDKN1B;RTN4RL1;FAF1;SMCR8;LRRC66"	"MF"
"L-asparagine transmembrane transporter activity (GO:0015182)"	"L-asparagine transmembrane transporter activity (GO:0015182)"	4	18	0.00841087256925999	0.169795176579277	"SLC6A19;SLC7A9;PKD1L3;SLC16A2"	"MF"
"alanine transmembrane transporter activity (GO:0022858)"	"alanine transmembrane transporter activity (GO:0022858)"	3	8	0.00165010135906762	0.108906689698463	"SLC6A19;SLC7A9;PKD1L3"	"MF"
"acetylglucosaminyltransferase activity (GO:0008375)"	"acetylglucosaminyltransferase activity (GO:0008375)"	3	13	0.0124972515566398	0.185874614701573	"HEXA;UGT3A2;UGT3A1"	"MF"
"serine transmembrane transporter activity (GO:0022889)"	"serine transmembrane transporter activity (GO:0022889)"	3	8	0.00165010135906762	0.108906689698463	"SLC6A19;SLC7A9;PKD1L3"	"MF"
"cysteine transmembrane transporter activity (GO:0033229)"	"cysteine transmembrane transporter activity (GO:0033229)"	3	9	0.00279676495398462	0.123636413649481	"SLC6A19;SLC7A9;PKD1L3"	"MF"
"L-isoleucine transmembrane transporter activity (GO:0015188)"	"L-isoleucine transmembrane transporter activity (GO:0015188)"	3	11	0.00649774359171529	0.142041484309636	"SLC6A19;SLC7A9;PKD1L3"	"MF"
"L-leucine transmembrane transporter activity (GO:0015190)"	"L-leucine transmembrane transporter activity (GO:0015190)"	3	11	0.00649774359171529	0.142041484309636	"SLC6A19;SLC7A9;PKD1L3"	"MF"
"L-valine transmembrane transporter activity (GO:0005304)"	"L-valine transmembrane transporter activity (GO:0005304)"	3	11	0.00649774359171529	0.142041484309636	"SLC6A19;SLC7A9;PKD1L3"	"MF"
"acyl-CoA hydrolase activity (GO:0047617)"	"acyl-CoA hydrolase activity (GO:0047617)"	3	7	0.00087635280884113	0.0771190471780194	"NUDT7;ACOT12;ACOT6"	"MF"
"long-chain acyl-CoA hydrolase activity (GO:0052816)"	"long-chain acyl-CoA hydrolase activity (GO:0052816)"	3	7	0.00087635280884113	0.0771190471780194	"ACOT12;BAAT;ACOT6"	"MF"
"medium-chain acyl-CoA hydrolase activity (GO:0052815)"	"medium-chain acyl-CoA hydrolase activity (GO:0052815)"	3	7	0.00087635280884113	0.0771190471780194	"ACOT12;BAAT;ACOT6"	"MF"
"aldo-keto reductase (NADP) activity (GO:0004033)"	"aldo-keto reductase (NADP) activity (GO:0004033)"	3	5	0.000141314707347018	0.0601917066395156	"AKR1B10;AKR1D1;AKR1A1"	"MF"
