"Term"	"interest_hit"	"background_hit"	"original_score"	"corrected_score"	"Genes"	"GO_process"
"protein kinase A catalytic subunit binding (GO:0034236)"	"protein kinase A catalytic subunit binding (GO:0034236)"	32	158	0.050409731902497	0.435510093283935	"AP2A1;KIF11;PTPN23;FOXM1;AURKA;CASP9;CDC42;CCND3;RACGAP1;PRKAR2B;CEP250;SOX9;FBXO5;FAM83D;CDK5RAP2;CDKN2D;DAXX;BORA;PIH1D1;NEK6;CEP152;CDC25C;SNAP91;TPCN2;PJA2;CCNA2;TPX2;PTPRC;CENPJ;SQSTM1;SKAP1;LLGL1"	"MF"
"protein kinase B binding (GO:0043422)"	"protein kinase B binding (GO:0043422)"	30	152	0.0737159733461281	0.435510093283935	"AP2A1;KIF11;PTPN23;FOXM1;AURKA;CASP9;CDC42;CCND3;RACGAP1;CEP250;FBXO5;FAM83D;CDK5RAP2;CDKN2D;DAXX;BORA;PIH1D1;NEK6;CEP152;CDC25C;SNAP91;TPCN2;CCNA2;TPX2;PTPRC;CENPJ;RARA;SQSTM1;SKAP1;LLGL1"	"MF"
"ATP-dependent microtubule motor activity, plus-end-directed (GO:0008574)"	"ATP-dependent microtubule motor activity, plus-end-directed (GO:0008574)"	18	69	0.00862407224763462	0.21115067212757	"BLM;HSPA5;SMARCA5;RHOBTB3;KIF23;KIF11;TOR1B;ATP5O;MLH1;MLH3;MSH6;CENPE;KIF18A;KIFC1;KIF2C;KIF21B;KIF20B;MYH7"	"MF"
"mitogen-activated protein kinase kinase binding (GO:0031434)"	"mitogen-activated protein kinase kinase binding (GO:0031434)"	30	154	0.0847491392243125	0.435510093283935	"AP2A1;KIF11;PTPN23;FOXM1;AURKA;CASP9;CDC42;CCND3;RACGAP1;CEP250;FBXO5;FAM83D;CDK5RAP2;CDKN2D;DAXX;BORA;PIH1D1;NEK6;CEP152;BRAF;CDC25C;SNAP91;TPCN2;CCNA2;TPX2;PTPRC;CENPJ;SQSTM1;SKAP1;LLGL1"	"MF"
"mitogen-activated protein kinase binding (GO:0051019)"	"mitogen-activated protein kinase binding (GO:0051019)"	30	156	0.0968522040487276	0.445520138624147	"AP2A1;KIF11;PTPN23;FOXM1;AURKA;CASP9;CDC42;CCND3;RACGAP1;CEP250;FBXO5;FAM83D;CDK5RAP2;CDKN2D;DAXX;BORA;PIH1D1;NEK6;CEP152;CDC25C;SNAP91;TPCN2;CCNA2;TPX2;PTPRC;TNIP1;CENPJ;SQSTM1;SKAP1;LLGL1"	"MF"
"ATPase activity (GO:0016887)"	"ATPase activity (GO:0016887)"	17	66	0.0115396856445897	0.239167308387507	"BLM;HSPA5;ENTPD7;SMARCA5;RHOBTB3;KIF23;TOR1B;ATP5O;MLH1;MLH3;MSH6;CENPE;KIFC1;KIF2C;KIF21B;KIF20B;MYH7"	"MF"
"protein kinase binding (GO:0019901)"	"protein kinase binding (GO:0019901)"	33	179	0.136525027111609	0.497205280703128	"SRC;AP2A1;PTPN22;KIF11;PTPN23;FOXM1;AURKA;CASP9;CDC42;CCND3;RACGAP1;CEP250;FBXO5;FAM83D;CDK5RAP2;BARD1;CDKN2D;DAXX;BORA;PIH1D1;NEK6;CEP152;CDC25C;SNAP91;TPCN2;SGO1;CCNA2;TPX2;PTPRC;CENPJ;SQSTM1;SKAP1;LLGL1"	"MF"
"3-phosphoinositide-dependent protein kinase binding (GO:0043423)"	"3-phosphoinositide-dependent protein kinase binding (GO:0043423)"	29	148	0.0826435997903598	0.435510093283935	"AP2A1;KIF11;PTPN23;FOXM1;AURKA;CASP9;CDC42;CCND3;RACGAP1;CEP250;FBXO5;FAM83D;CDK5RAP2;CDKN2D;DAXX;BORA;PIH1D1;NEK6;CEP152;CDC25C;SNAP91;TPCN2;CCNA2;TPX2;PTPRC;CENPJ;SQSTM1;SKAP1;LLGL1"	"MF"
"mitogen-activated protein kinase kinase kinase kinase binding (GO:0033161)"	"mitogen-activated protein kinase kinase kinase kinase binding (GO:0033161)"	29	148	0.0826435997903598	0.435510093283935	"AP2A1;KIF11;PTPN23;FOXM1;AURKA;CASP9;CDC42;CCND3;RACGAP1;CEP250;FBXO5;FAM83D;CDK5RAP2;CDKN2D;DAXX;BORA;PIH1D1;NEK6;CEP152;CDC25C;SNAP91;TPCN2;CCNA2;TPX2;PTPRC;CENPJ;SQSTM1;SKAP1;LLGL1"	"MF"
"protein histidine kinase binding (GO:0043424)"	"protein histidine kinase binding (GO:0043424)"	29	148	0.0826435997903598	0.435510093283935	"AP2A1;KIF11;PTPN23;FOXM1;AURKA;CASP9;CDC42;CCND3;RACGAP1;CEP250;FBXO5;FAM83D;CDK5RAP2;CDKN2D;DAXX;BORA;PIH1D1;NEK6;CEP152;CDC25C;SNAP91;TPCN2;CCNA2;TPX2;PTPRC;CENPJ;SQSTM1;SKAP1;LLGL1"	"MF"
