	0
chr3:148816683-148816783	ENSMUSG00000028184
chr3:148816783-148816883	ENSMUSG00000028184
chr3:148816983-148817083	ENSMUSG00000028184
chr3:148817083-148817183	ENSMUSG00000028184
chr3:148817283-148817383	ENSMUSG00000028184
chr3:148817383-148817483	ENSMUSG00000028184
chr3:148817483-148817583	ENSMUSG00000028184
chr3:148817583-148817683	ENSMUSG00000028184
chr3:148858883-148858983	ENSMUSG00000028184
chr3:148859283-148859383	ENSMUSG00000028184
chr3:148989083-148989183	ENSMUSG00000028184
chr3:146463995-146464095	ENSMUSG00000028189
chr3:146463996-146464096	ENSMUSG00000028188
chr17:75538686-75538786	ENSMUSG00000002017
chr17:75538786-75538886	ENSMUSG00000002017
chr17:75538986-75539086	ENSMUSG00000002017
chr17:35956919-35957019	ENSMUSG00000038762
chr17:35957019-35957119	ENSMUSG00000038762
chr4:3585575-3585675	ENSMUSG00000028233
chr4:3585775-3585875	ENSMUSG00000028233
chr4:3585875-3585975	ENSMUSG00000028233
chr13:74646272-74646372	ENSMUSG00000021583
chr13:75869737-75869837	ENSMUSG00000021589
chr13:75943337-75943437	ENSMUSG00000021589
chr13:75943537-75943637	ENSMUSG00000021589
chr17:24892153-24892253	ENSMUSG00000024163
chr17:24892353-24892453	ENSMUSG00000024163
chr17:24892453-24892553	ENSMUSG00000024163
chr17:24895853-24895953	ENSMUSG00000024163
chr17:24895953-24896053	ENSMUSG00000024163
chr17:24896053-24896153	ENSMUSG00000024163
chr11:115964382-115964482	ENSMUSG00000020755
chr11:115964482-115964582	ENSMUSG00000020755
chr11:115964582-115964682	ENSMUSG00000020755
chr7:105636203-105636303	ENSMUSG00000030881
chr2:39196954-39197054	ENSMUSG00000026753
chr2:39225854-39225954	ENSMUSG00000026753
chr5:136274996-136275096	ENSMUSG00000086220
chr5:136275096-136275196	ENSMUSG00000086220
chr5:136275196-136275296	ENSMUSG00000086220
chr5:136275296-136275396	ENSMUSG00000086220
chr5:136307996-136308096	ENSMUSG00000086220
chr5:136312796-136312896	ENSMUSG00000086220
chr6:120893430-120893530	ENSMUSG00000004446
chr6:120893730-120893830	ENSMUSG00000004446
chr6:120894030-120894130	ENSMUSG00000004446
chr4:25250417-25250517	ENSMUSG00000085885
chr4:25250517-25250617	ENSMUSG00000085885
chr14:11966647-11966747	ENSMUSG00000085883
chr14:11966747-11966847	ENSMUSG00000085883
chr2:31800676-31800776	ENSMUSG00000026842
chr2:31801376-31801476	ENSMUSG00000026842
chr2:31801576-31801676	ENSMUSG00000026842
chr2:31802176-31802276	ENSMUSG00000026842
chr12:73545114-73545214	ENSMUSG00000034435
chr6:90381892-90381992	ENSMUSG00000034430
chr6:90381992-90382092	ENSMUSG00000034430
chr6:90382092-90382192	ENSMUSG00000034430
chr6:90382192-90382292	ENSMUSG00000034430
chr6:90382492-90382592	ENSMUSG00000034430
chr1:90612881-90612981	ENSMUSG00000034432
chr7:3296979-3297079	ENSMUSG00000078816
chr7:3297079-3297179	ENSMUSG00000078816
chr7:119857696-119857796	ENSMUSG00000048787
chr7:119857796-119857896	ENSMUSG00000048787
chr7:119859596-119859696	ENSMUSG00000048787
chr5:150592144-150592244	ENSMUSG00000041132
chr4:16123733-16123833	ENSMUSG00000041135
chr2:130390875-130390975	ENSMUSG00000027408
chr2:130390975-130391075	ENSMUSG00000027408
chr19:6829886-6829986	ENSMUSG00000104884
chr7:6730778-6730878	ENSMUSG00000051527
chr11:43745212-43745312	ENSMUSG00000041278
chrX:150521719-150521819	ENSMUSG00000025269
chrX:150521819-150521919	ENSMUSG00000025269
chrX:150551219-150551319	ENSMUSG00000025269
chrX:150551419-150551519	ENSMUSG00000025269
chrX:150571919-150572019	ENSMUSG00000025269
chrX:151918607-151918707	ENSMUSG00000025261
chrX:151919607-151919707	ENSMUSG00000025261
chrX:151919707-151919807	ENSMUSG00000025261
chrX:151919807-151919907	ENSMUSG00000025261
chr2:157556662-157556762	ENSMUSG00000067787
chr2:157556762-157556862	ENSMUSG00000067787
chr2:157561862-157561962	ENSMUSG00000067787
chr1:191026047-191026147	ENSMUSG00000066595
chr9:96944482-96944582	ENSMUSG00000046997
chr9:96995782-96995882	ENSMUSG00000046997
chr9:97017982-97018082	ENSMUSG00000046997
chr9:97018082-97018182	ENSMUSG00000046997
chr16:17840877-17840977	ENSMUSG00000092470
chr16:17843977-17844077	ENSMUSG00000092470
chr10:89576520-89576620	ENSMUSG00000019935
chr6:124747289-124747389	ENSMUSG00000107478
chr6:124747789-124747889	ENSMUSG00000107478
chr6:124747889-124747989	ENSMUSG00000107478
chr13:43135223-43135323	ENSMUSG00000054728
chr5:105607388-105607488	ENSMUSG00000054720
chr5:105608188-105608288	ENSMUSG00000054720
chr5:105608288-105608388	ENSMUSG00000054720
chr5:105608688-105608788	ENSMUSG00000054720
chr19:46330112-46330212	ENSMUSG00000036748
chr19:46330212-46330312	ENSMUSG00000036748
chr9:13805410-13805510	ENSMUSG00000031918
chr6:128228288-128228388	ENSMUSG00000030353
chr6:127964096-127964196	ENSMUSG00000030352
chr6:127964196-127964296	ENSMUSG00000030352
chr6:127964296-127964396	ENSMUSG00000030352
chr6:127964396-127964496	ENSMUSG00000030352
chr1:125914620-125914720	ENSMUSG00000049690
chr1:126024520-126024620	ENSMUSG00000049690
chr1:126025420-126025520	ENSMUSG00000049690
chr1:126027220-126027320	ENSMUSG00000049690
chr12:59204755-59204855	ENSMUSG00000035329
chr5:100361949-100362049	ENSMUSG00000035325
chr5:100362049-100362149	ENSMUSG00000035325
chr5:100375249-100375349	ENSMUSG00000035325
chr7:66079649-66079749	ENSMUSG00000075701
chr16:44379121-44379221	ENSMUSG00000043065
chr9:24412776-24412876	ENSMUSG00000043067
chr9:24502876-24502976	ENSMUSG00000043067
chr5:107109570-107109670	ENSMUSG00000029287
chr5:107109670-107109770	ENSMUSG00000029287
chr5:106983122-106983222	ENSMUSG00000029283
chr4:132828029-132828129	ENSMUSG00000028882
chr4:132777832-132777932	ENSMUSG00000028884
chr4:132721587-132721687	ENSMUSG00000028886
chr5:123700394-123700494	ENSMUSG00000029427
chr5:123700494-123700594	ENSMUSG00000029427
chr5:123700594-123700694	ENSMUSG00000029427
chr5:92505414-92505514	ENSMUSG00000029426
chr5:128985357-128985457	ENSMUSG00000029428
chr6:116401424-116401524	ENSMUSG00000025702
chr6:116406024-116406124	ENSMUSG00000025702
chr6:116406124-116406224	ENSMUSG00000025702
chr13:100617665-100617765	ENSMUSG00000021635
chr13:100617765-100617865	ENSMUSG00000021635
chr9:107852259-107852359	ENSMUSG00000032582
chr9:107852359-107852459	ENSMUSG00000032582
chr9:107852459-107852559	ENSMUSG00000032582
chr9:107852959-107853059	ENSMUSG00000032582
chr9:107853059-107853159	ENSMUSG00000032582
chr9:107853159-107853259	ENSMUSG00000032582
chr9:107853259-107853359	ENSMUSG00000032582
chr7:42610326-42610426	ENSMUSG00000074158
chr7:120918044-120918144	ENSMUSG00000030880
chr7:120940444-120940544	ENSMUSG00000030880
chr7:120940544-120940644	ENSMUSG00000030880
chr7:120944544-120944644	ENSMUSG00000030880
chr4:116803048-116803148	ENSMUSG00000033985
chr4:116804648-116804748	ENSMUSG00000033985
chr3:103928420-103928520	ENSMUSG00000044098
chr3:103928520-103928620	ENSMUSG00000044098
chr3:103928620-103928720	ENSMUSG00000044098
chr3:103962220-103962320	ENSMUSG00000044098
chr3:103962320-103962420	ENSMUSG00000044098
chr3:103962420-103962520	ENSMUSG00000044098
chr5:65154339-65154439	ENSMUSG00000054920
chr5:65167039-65167139	ENSMUSG00000054920
chr2:73432210-73432310	ENSMUSG00000075284
chr2:73437310-73437410	ENSMUSG00000075284
chr2:73529410-73529510	ENSMUSG00000075284
chr19:5770427-5770527	ENSMUSG00000024941
chr11:70986791-70986891	ENSMUSG00000040620
chr11:70987091-70987191	ENSMUSG00000040620
chr19:23273741-23273841	ENSMUSG00000024943
chr19:6375690-6375790	ENSMUSG00000024949
chr19:6375790-6375890	ENSMUSG00000024949
chr19:6375990-6376090	ENSMUSG00000024949
chr19:6376090-6376190	ENSMUSG00000024949
chr14:62372589-62372689	ENSMUSG00000021932
chr8:105943833-105943933	ENSMUSG00000087436
chr16:32471421-32471521	ENSMUSG00000005615
chr16:32471521-32471621	ENSMUSG00000005615
chr7:111067750-111067850	ENSMUSG00000005610
chr7:111082650-111082750	ENSMUSG00000005610
chr7:111082750-111082850	ENSMUSG00000005610
chr7:111082950-111083050	ENSMUSG00000005610
chr7:110868666-110868766	ENSMUSG00000005611
chr7:110871366-110871466	ENSMUSG00000005611
chr16:18407086-18407186	ENSMUSG00000000326
chr16:18407486-18407586	ENSMUSG00000000326
chr3:19992654-19992754	ENSMUSG00000003617
chr15:96370218-96370318	ENSMUSG00000033237
chr15:96371418-96371518	ENSMUSG00000033237
chr15:96371818-96371918	ENSMUSG00000033237
chr15:96372018-96372118	ENSMUSG00000033237
chr15:96372118-96372218	ENSMUSG00000033237
chr15:96372418-96372518	ENSMUSG00000033237
chr15:89156149-89156249	ENSMUSG00000036606
chr15:89167149-89167249	ENSMUSG00000036606
chr1:133133043-133133143	ENSMUSG00000046062
chr1:133133243-133133343	ENSMUSG00000046062
chr17:10209371-10209471	ENSMUSG00000062078
chr17:10209571-10209671	ENSMUSG00000062078
chr17:10318171-10318271	ENSMUSG00000062078
chr17:10319171-10319271	ENSMUSG00000062078
chr17:10319271-10319371	ENSMUSG00000062078
chr1:118419458-118419558	ENSMUSG00000064302
chr1:118419658-118419758	ENSMUSG00000064302
chr1:118419758-118419858	ENSMUSG00000064302
chr1:118608558-118608658	ENSMUSG00000064302
chr1:118608658-118608758	ENSMUSG00000064302
chr1:118608758-118608858	ENSMUSG00000064302
chr1:118609058-118609158	ENSMUSG00000064302
chr11:95044874-95044974	ENSMUSG00000001507
chr11:95044974-95045074	ENSMUSG00000001507
chr8:70913832-70913932	ENSMUSG00000019261
chr5:67398347-67398447	ENSMUSG00000092060
chr11:80094300-80094400	ENSMUSG00000017550
chr14:67008839-67008939	ENSMUSG00000022051
chr14:67015057-67015157	ENSMUSG00000022052
chr14:67015157-67015257	ENSMUSG00000022052
chr14:67016057-67016157	ENSMUSG00000022052
chr14:67016157-67016257	ENSMUSG00000022052
chr14:67016357-67016457	ENSMUSG00000022052
chr14:67016457-67016557	ENSMUSG00000022052
chr14:67016557-67016657	ENSMUSG00000022052
chr14:67072357-67072457	ENSMUSG00000022052
chr11:61246117-61246217	ENSMUSG00000010025
chr7:98216689-98216789	ENSMUSG00000030760
chr8:25181952-25182052	ENSMUSG00000065954
chr8:25182052-25182152	ENSMUSG00000065954
chr8:25182152-25182252	ENSMUSG00000065954
chr8:25182252-25182352	ENSMUSG00000065954
chr8:25182552-25182652	ENSMUSG00000065954
chr8:25182652-25182752	ENSMUSG00000065954
chr8:107009850-107009950	ENSMUSG00000041308
chr8:107011250-107011350	ENSMUSG00000041308
chr8:107011350-107011450	ENSMUSG00000041308
chr1:54438904-54439004	ENSMUSG00000041303
chr6:18267787-18267887	ENSMUSG00000041301
chr6:18267987-18268087	ENSMUSG00000041301
chr6:18321087-18321187	ENSMUSG00000041301
chr6:18321187-18321287	ENSMUSG00000041301
chr14:78510646-78510746	ENSMUSG00000022016
chr14:78510746-78510846	ENSMUSG00000022016
chr14:78510846-78510946	ENSMUSG00000022016
chr14:78513246-78513346	ENSMUSG00000022016
chr14:76415461-76415561	ENSMUSG00000022010
chr14:76416061-76416161	ENSMUSG00000022010
chr14:76416161-76416261	ENSMUSG00000022010
chr14:76416261-76416361	ENSMUSG00000022010
chr14:76416561-76416661	ENSMUSG00000022010
